"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.64.170.173","54.237.226.164","TCP","78","60881  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=591076242 TSecr=0 SACK_PERM"
"3","0.000056","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=591076255 TSecr=900195999"
"4","0.000367","100.64.170.173","54.237.226.164","TLSv1.3","856","Client Hello"
"7","0.000044","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=791 Ack=213 Win=131520 Len=0 TSval=591076271 TSecr=900196012"
"8","0.002468","100.64.170.173","54.237.226.164","TLSv1.3","130","Change Cipher Spec, Application Data"
"10","0.000297","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=855 Ack=699 Win=131008 Len=0 TSval=591076289 TSecr=900196030"
"11","0.007829","100.64.170.173","54.237.226.164","TLSv1.3","158","Application Data"
"12","0.000141","100.64.170.173","54.237.226.164","TLSv1.3","97","Application Data"
"13","0.000072","100.64.170.173","54.237.226.164","TCP","1514","60881  >  443 [ACK] Seq=978 Ack=699 Win=131072 Len=1448 TSval=591076298 TSecr=900196030 [TCP segment of a reassembled PDU]"
"14","0.000025","100.64.170.173","54.237.226.164","TLSv1.3","170","Application Data"
"16","0.000045","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=2530 Ack=730 Win=131008 Len=0 TSval=591076309 TSecr=900196053"
"19","0.000150","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=2530 Ack=1827 Win=129920 Len=0 TSval=591076533 TSecr=900196277"
"22","0.000113","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=2530 Ack=4723 Win=128128 Len=0 TSval=591076533 TSecr=900196277"
"27","0.000116","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=2530 Ack=10070 Win=122816 Len=0 TSval=591076536 TSecr=900196278"
"28","0.001061","100.64.170.173","54.237.226.164","TCP","66","[TCP Window Update] 60881  >  443 [ACK] Seq=2530 Ack=10070 Win=131072 Len=0 TSval=591076537 TSecr=900196278"
"33","0.000236","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=2530 Ack=13701 Win=127424 Len=0 TSval=591076538 TSecr=900196279"
"34","0.000890","100.64.170.173","54.237.226.164","TCP","66","[TCP Window Update] 60881  >  443 [ACK] Seq=2530 Ack=13701 Win=131072 Len=0 TSval=591076539 TSecr=900196279"
"37","0.000089","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=2530 Ack=15254 Win=129472 Len=0 TSval=591076539 TSecr=900196279"
"39","0.000128","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=2530 Ack=16702 Win=129600 Len=0 TSval=591076547 TSecr=900196290"
"41","0.000061","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=2530 Ack=18150 Win=129600 Len=0 TSval=591076547 TSecr=900196290"
"44","0.000057","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=2530 Ack=21046 Win=128128 Len=0 TSval=591076549 TSecr=900196291"
"45","0.000273","100.64.170.173","54.237.226.164","TCP","66","[TCP Window Update] 60881  >  443 [ACK] Seq=2530 Ack=21046 Win=131072 Len=0 TSval=591076549 TSecr=900196291"
"48","0.000060","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=2530 Ack=23942 Win=128128 Len=0 TSval=591076549 TSecr=900196292"
"51","0.000052","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=2530 Ack=26838 Win=125248 Len=0 TSval=591076551 TSecr=900196293"
"52","0.000270","100.64.170.173","54.237.226.164","TCP","66","[TCP Window Update] 60881  >  443 [ACK] Seq=2530 Ack=26838 Win=131072 Len=0 TSval=591076551 TSecr=900196293"
"55","0.000034","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=2530 Ack=29734 Win=128128 Len=0 TSval=591076551 TSecr=900196294"
"56","0.000112","100.64.170.173","54.237.226.164","TCP","66","[TCP Window Update] 60881  >  443 [ACK] Seq=2530 Ack=29734 Win=131072 Len=0 TSval=591076551 TSecr=900196294"
"59","0.000040","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=2530 Ack=32630 Win=128128 Len=0 TSval=591076551 TSecr=900196295"
"60","0.000252","100.64.170.173","54.237.226.164","TCP","66","[TCP Window Update] 60881  >  443 [ACK] Seq=2530 Ack=32630 Win=131072 Len=0 TSval=591076552 TSecr=900196295"
"63","0.000049","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=2530 Ack=35526 Win=128128 Len=0 TSval=591076552 TSecr=900196295"
"64","0.000221","100.64.170.173","54.237.226.164","TCP","66","[TCP Window Update] 60881  >  443 [ACK] Seq=2530 Ack=35526 Win=131072 Len=0 TSval=591076552 TSecr=900196295"
"67","0.000057","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=2530 Ack=38422 Win=129600 Len=0 TSval=591076553 TSecr=900196296"
"70","0.000040","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=2530 Ack=41318 Win=128128 Len=0 TSval=591076555 TSecr=900196297"
"71","0.000087","100.64.170.173","54.237.226.164","TCP","66","[TCP Window Update] 60881  >  443 [ACK] Seq=2530 Ack=41318 Win=131072 Len=0 TSval=591076555 TSecr=900196297"
"76","0.000076","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=2530 Ack=47110 Win=125248 Len=0 TSval=591076557 TSecr=900196299"
"77","0.000139","100.64.170.173","54.237.226.164","TCP","66","[TCP Window Update] 60881  >  443 [ACK] Seq=2530 Ack=47110 Win=131072 Len=0 TSval=591076557 TSecr=900196299"
"80","0.000044","100.64.170.173","54.237.226.164","TCP","66","60881  >  443 [ACK] Seq=2530 Ack=48895 Win=129280 Len=0 TSval=591076557 TSecr=900196300"
"81","0.953866","100.64.170.173","52.3.144.142","TCP","78","60890  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=378430674 TSecr=0 SACK_PERM"
"83","0.000089","100.64.170.173","52.3.144.142","TCP","66","60890  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=378430685 TSecr=2502829592"
"84","0.080257","100.64.170.173","52.3.144.142","TLSv1.3","792","Client Hello"
"87","0.000063","100.64.170.173","52.3.144.142","TCP","66","60890  >  443 [ACK] Seq=727 Ack=213 Win=131520 Len=0 TSval=378430777 TSecr=2502829683"
"88","0.003056","100.64.170.173","52.3.144.142","TLSv1.3","130","Change Cipher Spec, Application Data"
"89","0.001127","100.64.170.173","52.3.144.142","TLSv1.3","158","Application Data"
"90","0.001006","100.64.170.173","52.3.144.142","TLSv1.3","425","Application Data"
"92","0.000084","100.64.170.173","52.3.144.142","TCP","66","60890  >  443 [ACK] Seq=1242 Ack=699 Win=131008 Len=0 TSval=378430793 TSecr=2502829698"
"94","0.000056","100.64.170.173","52.3.144.142","TCP","66","60890  >  443 [ACK] Seq=1242 Ack=730 Win=131008 Len=0 TSval=378430793 TSecr=2502829700"
"96","0.000066","100.64.170.173","52.3.144.142","TCP","66","60890  >  443 [ACK] Seq=1242 Ack=1967 Win=129792 Len=0 TSval=378430804 TSecr=2502829711"
"97","0.018776","100.64.170.173","52.3.144.142","TLSv1.3","97","Application Data"
"98","0.001457","100.64.170.173","52.3.144.142","TCP","78","60891  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3753887694 TSecr=0 SACK_PERM"
"100","0.000081","100.64.170.173","52.3.144.142","TCP","66","60891  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=3753887707 TSecr=2438406420"
"101","0.005428","100.64.170.173","52.3.144.142","TLSv1.3","888","Client Hello"
"104","0.000052","100.64.170.173","52.3.144.142","TCP","66","60891  >  443 [ACK] Seq=823 Ack=213 Win=131520 Len=0 TSval=3753887725 TSecr=2438406437"
